,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,vol_price_rule (2nd),eps_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule (1st),shares_outstanding_rule (2nd),inst_ownership_rule (2nd),SMA200_slope_rule (1st),SMA150_greater_SMA200_rule (1st),SMA50_greater_SMA150_rule (1st),close_greater_SMA50_rule (1st),week52_span_rule (1st),close_above_52weekhigh_rule (1st),Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern
206,TMHC,26.32051090602457,26.669514554218182,28.702571432931084,0.1788,0.0471,0.4,0.062,28.81,30.959999084472656,8.210000038146973,0.99,129910000.0,372114.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,True,True,False,False,False
208,HPQ,23.30804602073057,24.683420403489787,28.597779955182755,0.3763,0.07629999999999999,0.779,0.07,29.37,30.790000915527344,14.0600004196167,0.835,1280000000.0,3814473.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
221,PRPL,30.842226334731944,32.44883500256584,35.151571437290734,0.12279999999999999,-0.129,0.884,0.39899999999999997,30.32,40.04999923706055,4.519999980926514,0.958,60520000.0,386930.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,False,False,False,False,False
233,JEF,24.00649633198759,25.766990309780084,30.096571459089006,0.45890000000000003,0.10439999999999999,0.877,0.682,32.53,34.279998779296875,12.09000015258789,0.743,272890000.0,1834897.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
254,SEM,26.071167911056186,27.753398098991912,31.044285692487446,0.439,0.109,1.4,0.062,32.73,36.650001525878906,12.0,0.7829999999999999,130270000.00000001,143500.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,False,False,False,False,False
260,COWN,25.655766368782434,28.42009699923321,34.87485694885254,0.47590000000000005,0.0329,16.646,0.789,33.97,42.16999816894531,8.84000015258789,0.0,26930000.0,988041.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
261,EGOV,26.18810217920011,28.031844592788843,33.52114252362932,0.35200000000000004,0.0596,0.778,0.621,33.81,35.13999938964844,19.420000076293945,0.9059999999999999,67030000.0,655586.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
262,GFL,26.53881749619533,28.19027180347628,31.304800197056363,0.3898,0.0966,0.0,0.37799999999999995,33.23,33.90800094604492,12.529999732971191,0.7214,314300000.0,360557.0,False,False,True,False,False,True,True,True,True,True,True,7,0,False,False,False,False,False,False,False,False
266,COOP,27.39824821305101,29.038058327239693,32.53114291599819,0.4508,0.08220000000000001,-0.591,0.28800000000000003,33.81,36.93000030517578,5.409999847412109,0.932,90180000.0,461357.0,True,False,True,False,False,True,True,True,True,True,True,7,1,False,False,False,True,True,False,False,False
279,LPRO,31.858759288370173,34.161456580300936,38.95128631591797,0.2991,-0.0732,6.391,0.52,35.46,42.20000076293945,10.0600004196167,0.5770000000000001,128150000.0,610133.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
281,TX,26.8013868540743,29.212912587286198,32.644857025146486,0.527,0.1291,8.006,0.10300000000000001,35.9,37.119998931884766,11.550000190734863,0.20199999999999999,196310000.0,369619.0,False,True,False,False,True,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
283,DISH,31.73525524835517,32.53126188852254,33.940285437447685,0.10830000000000001,0.0832,0.772,0.406,35.52,38.970001220703125,18.700000762939453,0.8540000000000001,526059999.99999994,1650680.0,True,True,True,False,False,False,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
284,OMI,26.710659904201535,28.51408156607915,32.03086858476911,0.6236,0.16399999999999998,0.0,0.265,34.57,38.470001220703125,5.510000228881836,0.904,70520000.0,315070.0,False,False,True,False,False,True,True,True,True,True,True,7,0,False,False,False,True,False,False,False,False
285,OLN,23.102372308717158,26.136844727599506,31.76871441432408,0.8462999999999999,0.19949999999999998,0.573,0.192,35.91,39.810001373291016,9.789999961853027,0.879,158200000.0,575077.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
292,CG,30.507883085821668,32.06407750694497,36.18371396745954,0.2426,0.0475,0.0,2.291,36.76,37.40999984741211,19.709999084472656,0.35700000000000004,353450000.0,408223.0,True,False,True,False,False,True,True,True,True,True,True,7,1,False,False,False,True,False,False,False,False
295,TPX,27.191240895403563,28.780364101372875,34.39014276776995,0.4985,0.1429,2.137,0.213,36.55,39.470001220703125,8.532500267028809,0.951,205200000.0,1042357.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
301,ACGL,33.46350373316855,34.52446613496947,35.932285744803295,0.1568,0.0687,0.703,0.33799999999999997,37.25,38.09000015258789,22.239999771118164,0.917,403000000.0,459119.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
310,CALX,29.016934401797553,32.082621416999295,39.835428728376115,0.5125,0.0148,47.495,0.414,37.89,48.25,6.420000076293945,0.7859999999999999,62140000.0,509285.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
317,PLT,27.07248192808054,31.416407964761977,41.0620002746582,0.6598999999999999,0.0203,1.242,0.261,38.44,44.720001220703125,7.440000057220459,0.985,41250000.0,237377.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,False,False,False,False,False
319,COHU,32.98540159907654,37.955048737016696,44.451143101283485,0.4065,-0.11560000000000001,1.9,0.425,39.69,50.54999923706055,11.239999771118164,0.805,42120000.0,250676.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,False,False,True,False,False
322,FNF,36.52302921601456,37.77723314229724,39.708142961774556,0.12369999999999999,0.0043,1.2329999999999999,0.596,38.84,42.310001373291016,23.25,0.826,292000000.0,439066.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
326,WORK,36.201240845840346,38.81436888685504,41.765999930245535,0.162,-0.042699999999999995,0.262,0.39,40.45,44.279998779296875,23.479999542236328,0.7490000000000001,570370000.0,1188975.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
327,CARR,36.42208018616168,38.12820379016469,38.13757138933454,0.20879999999999999,0.0425,0.951,0.021,40.14,41.7400016784668,12.890000343322754,0.8590000000000001,869280000.0,3206384.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
329,NVST,32.05846712711084,34.28970872082756,39.234857068743025,0.39409999999999995,0.0526,0.726,0.016,39.55,41.630001068115234,12.979999542236328,0.0,160200000.0,386022.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,True,False,False,False,False
332,GLW,36.1142700223157,37.05296112727193,38.663000161307195,0.19690000000000002,0.066,6.875,0.18899999999999997,40.25,41.59000015258789,17.90999984741211,0.762,769160000.0,1486936.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,True,True,False,False,False
341,HALO,38.9636494713108,42.675048328140406,45.92028568812779,0.187,-0.098,3.055,1.266,41.51,51.45000076293945,16.25,0.0,135100000.0,544972.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,True,False,False
345,TMDX,21.057956980962825,23.219030148774674,35.28457445417132,1.1305,0.35509999999999997,0.46399999999999997,0.24600000000000002,42.83,47.81999969482422,11.65999984741211,0.7959999999999999,27160000.0,523686.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
352,LAZ,39.05124068434221,40.630193988096366,41.82714276994977,0.19190000000000002,0.019799999999999998,1.4569999999999999,0.20800000000000002,42.51,46.810001373291016,22.469999313354492,0.743,107320000.0,199060.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,False,False,False,False,False
361,BLDR,37.757518072197904,39.50116492706595,43.572571345738005,0.3041,0.0298,2.351,0.435,42.37,47.5,10.90999984741211,0.672,206430000.0,805211.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,True,True,False,False,False
364,KLIC,34.063613042344144,37.31771830216195,47.08357129778181,0.44079999999999997,0.0014000000000000002,2.6689999999999996,0.857,45.13,52.150001525878906,20.200000762939453,0.9009999999999999,61970000.0,427507.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
377,PGNY,37.802992702400594,41.055631063516856,47.42428556169782,0.3182,-0.0447,8.301,0.541,47.25,53.34000015258789,16.5,0.8740000000000001,86800000.0,371157.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,True,False,True,False,False
379,SEE,43.21397820354378,44.30072825163313,44.40100021362305,0.1103,0.0285,0.214,0.032,45.22,47.31999969482422,24.020000457763672,0.9259999999999999,155200000.0,306972.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,True,False,False,False,True
391,CTVA,38.23708030255172,40.79029123991438,45.35142865862165,0.3429,0.0587,3.158,0.075,46.19,47.29999923706055,22.239999771118164,0.8109999999999999,746300000.0,1411364.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
398,AVNT,37.89824810167298,40.80679600910076,45.6288569859096,0.3898,0.0664,8.677,0.514,45.47,51.209999084472656,17.559999465942383,0.968,91300000.0,228029.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,True,False,False,False,False
400,STLD,36.86854008862572,38.85485432448896,43.457142857142856,0.3943,0.1368,0.579,0.107,46.07,49.189998626708984,19.670000076293945,0.856,210600000.0,898848.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
405,KTB,38.31616780357639,42.367815443613,46.259285409109935,0.4719,0.0681,0.49,0.013000000000000001,46.68,53.5,13.800000190734863,0.9259999999999999,57160000.0,184309.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,True,False,False,False,False
406,KKR,40.10722635088176,41.627087454194005,46.93857127598354,0.2505,0.062,1.6030000000000002,0.841,47.98,49.349998474121094,21.84000015258789,0.826,570880000.0,651917.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
408,IR,42.55532845267414,44.599320457977,46.59599990844727,0.2238,0.0435,1.955,1.494,48.34,50.7599983215332,22.6299991607666,0.951,418800000.0,684245.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
415,HZO,36.97678836070708,40.39165054247217,49.9500002179827,0.45840000000000003,0.0225,1.507,0.353,48.76,61.77000045776367,7.96999979019165,0.0,22030000.0,477830.0,True,True,True,True,False,True,True,True,False,True,True,7,2,False,False,False,False,False,False,False,False
418,JBL,40.164306626702746,42.150970866379225,45.72514277866909,0.29059999999999997,0.0859,4.074,0.044000000000000004,48.79,51.04999923706055,22.389999389648438,0.909,150160000.0,335078.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,True,False,False,False,False
420,APAM,46.73430655820526,48.82961165789261,50.32942864554269,0.1447,-0.0333,0.517,0.253,51.1,54.41999816894531,19.59000015258789,0.8390000000000001,56970000.0,364944.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
428,FRHC,40.84985760876732,45.968257255924556,53.58601433890207,0.4557,-0.0528,7.397,2.346,50.84,60.22999954223633,13.729999542236328,0.03,58400000.0,518339.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
432,ATH,41.68178828441314,43.78936886092991,47.62699999128069,0.287,0.08869999999999999,0.9129999999999999,1.4409999999999998,50.19,52.060001373291016,21.469999313354492,0.9,191780000.0,879812.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
436,BECN,39.72671519926865,42.0765047165954,48.8922855922154,0.38780000000000003,0.0817,2.37,0.114,50.39,54.849998474121094,13.3100004196167,0.0,69200000.0,226671.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,False,False,False,False,False
440,PCH,47.714014401401045,49.04553381910602,52.26085706438337,0.1183,-0.0086,7.742999999999999,0.6579999999999999,49.5,54.15999984741211,25.979999542236328,0.8740000000000001,67160000.0,314193.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
444,UCTT,34.071240794049565,38.02058243983,48.76542859758649,0.6556000000000001,0.113,3.0869999999999997,0.29100000000000004,52.84,56.91999816894531,12.710000038146973,0.9059999999999999,40500000.0,328898.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
454,LPX,37.689489016567705,39.91213585566548,47.882571411132815,0.5072,0.1659,6.374,0.601,50.42,55.0099983215332,13.859999656677246,0.956,108000000.0,770268.0,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
462,ZI,44.93905109210606,46.88213592825584,52.340571703229635,0.2057,0.0512,7.557,0.547,54.4,58.08000183105469,31.110000610351562,0.86,163490000.0,6090590.0,True,True,True,False,False,False,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
469,ARES,46.539999892746195,48.1884613770705,52.28499995337592,0.21850000000000003,0.07339999999999999,0.47600000000000003,0.506,54.74,55.38999938964844,28.84000015258789,0.687,144660000.0,175038.0,False,True,True,False,False,True,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
473,MC,44.72445251297777,47.82524268141071,54.37371422903878,0.3709,0.008,4.122,0.888,54.58,57.959999084472656,26.510000228881836,0.983,60480000.0,116572.0,False,True,True,False,False,True,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
477,AXNX,49.350510924401945,50.54495142964483,55.154285539899554,0.1777,0.0054,0.611,2.515,54.62,58.880001068115234,22.309999465942383,0.0,38990000.0,154281.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,False,False,False,False,False
481,FL,42.997116868513345,45.34150495806944,53.33071441650391,0.4378,0.0868,1.158,0.09,53.61,59.060001373291016,18.31999969482422,0.9309999999999999,104400000.0,415712.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,True,False,False,False,False
485,BCC,46.68518261317789,48.574951616305746,53.80057165963309,0.2531,0.0617,0.767,0.336,54.53,61.93000030517578,21.389999389648438,0.986,39320000.0,82232.0,False,True,True,False,False,False,True,True,True,True,True,7,0,False,False,False,True,False,False,False,False
